barcode_cell	clone	atac_cell	replicate
R1.056,R2.006,R3.061,P1.05	clone13	R1.056,R2.006,R3.061,P1.27	DSS21BC-Control-m7
R1.056,R2.008,R3.016,P1.05	clone4	R1.056,R2.008,R3.016,P1.27	DSS21BC-Control-m7
R1.056,R2.008,R3.036,P1.05	clone2,clone4	R1.056,R2.008,R3.036,P1.27	DSS21BC-Control-m7
R1.056,R2.008,R3.056,P1.05	clone2	R1.056,R2.008,R3.056,P1.27	DSS21BC-Control-m7
R1.056,R2.020,R3.053,P1.05	clone16	R1.056,R2.020,R3.053,P1.27	DSS21BC-Control-m7
R1.056,R2.023,R3.024,P1.05	clone2,clone4,clone14	R1.056,R2.023,R3.024,P1.27	DSS21BC-Control-m7
R1.056,R2.031,R3.083,P1.05	clone13	R1.056,R2.031,R3.083,P1.27	DSS21BC-Control-m7
R1.056,R2.032,R3.095,P1.05	clone2	R1.056,R2.032,R3.095,P1.27	DSS21BC-Control-m7
R1.056,R2.037,R3.029,P1.05	clone14	R1.056,R2.037,R3.029,P1.27	DSS21BC-Control-m7
R1.056,R2.038,R3.059,P1.05	clone2,clone4	R1.056,R2.038,R3.059,P1.27	DSS21BC-Control-m7
R1.056,R2.045,R3.005,P1.05	clone300,clone342	R1.056,R2.045,R3.005,P1.27	DSS21BC-Control-m7
R1.056,R2.048,R3.022,P1.05	clone4	R1.056,R2.048,R3.022,P1.27	DSS21BC-Control-m7
R1.056,R2.050,R3.091,P1.05	clone157	R1.056,R2.050,R3.091,P1.27	DSS21BC-Control-m7
R1.056,R2.053,R3.074,P1.05	clone2,clone4	R1.056,R2.053,R3.074,P1.27	DSS21BC-Control-m7
R1.057,R2.011,R3.043,P1.05	clone24,clone12,clone9	R1.057,R2.011,R3.043,P1.27	DSS21BC-Control-m7
R1.057,R2.011,R3.094,P1.05	clone2	R1.057,R2.011,R3.094,P1.27	DSS21BC-Control-m7
R1.057,R2.021,R3.071,P1.05	clone16	R1.057,R2.021,R3.071,P1.27	DSS21BC-Control-m7
R1.057,R2.031,R3.019,P1.05	clone2,clone14	R1.057,R2.031,R3.019,P1.27	DSS21BC-Control-m7
R1.057,R2.033,R3.042,P1.05	clone12,clone9	R1.057,R2.033,R3.042,P1.27	DSS21BC-Control-m7
R1.057,R2.038,R3.010,P1.05	clone50	R1.057,R2.038,R3.010,P1.27	DSS21BC-Control-m7
R1.057,R2.042,R3.037,P1.05	clone147	R1.057,R2.042,R3.037,P1.27	DSS21BC-Control-m7
R1.057,R2.062,R3.041,P1.05	clone283	R1.057,R2.062,R3.041,P1.27	DSS21BC-Control-m7
R1.057,R2.064,R3.076,P1.05	clone449	R1.057,R2.064,R3.076,P1.27	DSS21BC-Control-m7
R1.057,R2.089,R3.037,P1.05	clone37	R1.057,R2.089,R3.037,P1.27	DSS21BC-Control-m7
R1.057,R2.095,R3.079,P1.05	clone2	R1.057,R2.095,R3.079,P1.27	DSS21BC-Control-m7
R1.058,R2.002,R3.047,P1.05	clone144	R1.058,R2.002,R3.047,P1.27	DSS21BC-Control-m7
R1.058,R2.006,R3.087,P1.05	clone2,clone432	R1.058,R2.006,R3.087,P1.27	DSS21BC-Control-m7
R1.058,R2.009,R3.001,P1.05	clone2	R1.058,R2.009,R3.001,P1.27	DSS21BC-Control-m7
R1.058,R2.017,R3.014,P1.05	clone157,clone167	R1.058,R2.017,R3.014,P1.27	DSS21BC-Control-m7
R1.058,R2.020,R3.050,P1.05	clone13	R1.058,R2.020,R3.050,P1.27	DSS21BC-Control-m7
R1.058,R2.020,R3.056,P1.05	clone16	R1.058,R2.020,R3.056,P1.27	DSS21BC-Control-m7
R1.058,R2.023,R3.086,P1.05	clone150	R1.058,R2.023,R3.086,P1.27	DSS21BC-Control-m7
R1.058,R2.043,R3.003,P1.05	clone2	R1.058,R2.043,R3.003,P1.27	DSS21BC-Control-m7
R1.058,R2.074,R3.079,P1.05	clone2	R1.058,R2.074,R3.079,P1.27	DSS21BC-Control-m7
R1.058,R2.082,R3.091,P1.05	clone16	R1.058,R2.082,R3.091,P1.27	DSS21BC-Control-m7
R1.058,R2.090,R3.073,P1.05	clone16	R1.058,R2.090,R3.073,P1.27	DSS21BC-Control-m7
R1.059,R2.001,R3.001,P1.05	clone9,clone382	R1.059,R2.001,R3.001,P1.27	DSS21BC-Control-m7
R1.059,R2.004,R3.003,P1.05	clone2	R1.059,R2.004,R3.003,P1.27	DSS21BC-Control-m7
R1.059,R2.006,R3.072,P1.05	clone130	R1.059,R2.006,R3.072,P1.27	DSS21BC-Control-m7
R1.059,R2.007,R3.038,P1.05	clone37	R1.059,R2.007,R3.038,P1.27	DSS21BC-Control-m7
R1.059,R2.011,R3.006,P1.05	clone4	R1.059,R2.011,R3.006,P1.27	DSS21BC-Control-m7
R1.059,R2.011,R3.089,P1.05	clone2,clone4	R1.059,R2.011,R3.089,P1.27	DSS21BC-Control-m7
R1.059,R2.013,R3.067,P1.05	clone101	R1.059,R2.013,R3.067,P1.27	DSS21BC-Control-m7
R1.059,R2.031,R3.040,P1.05	clone2	R1.059,R2.031,R3.040,P1.27	DSS21BC-Control-m7
R1.059,R2.035,R3.094,P1.05	clone113,clone97	R1.059,R2.035,R3.094,P1.27	DSS21BC-Control-m7
R1.059,R2.042,R3.065,P1.05	clone2,clone4	R1.059,R2.042,R3.065,P1.27	DSS21BC-Control-m7
R1.059,R2.054,R3.086,P1.05	clone2	R1.059,R2.054,R3.086,P1.27	DSS21BC-Control-m7
R1.059,R2.061,R3.051,P1.05	clone2,clone4	R1.059,R2.061,R3.051,P1.27	DSS21BC-Control-m7
R1.059,R2.077,R3.038,P1.05	clone12	R1.059,R2.077,R3.038,P1.27	DSS21BC-Control-m7
R1.059,R2.078,R3.088,P1.05	clone14	R1.059,R2.078,R3.088,P1.27	DSS21BC-Control-m7
R1.059,R2.086,R3.088,P1.05	clone250	R1.059,R2.086,R3.088,P1.27	DSS21BC-Control-m7
R1.060,R2.012,R3.082,P1.05	clone13	R1.060,R2.012,R3.082,P1.27	DSS21BC-Control-m7
R1.060,R2.014,R3.048,P1.05	clone14	R1.060,R2.014,R3.048,P1.27	DSS21BC-Control-m7
R1.060,R2.018,R3.066,P1.05	clone12	R1.060,R2.018,R3.066,P1.27	DSS21BC-Control-m7
R1.060,R2.019,R3.017,P1.05	clone91	R1.060,R2.019,R3.017,P1.27	DSS21BC-Control-m7
R1.060,R2.019,R3.085,P1.05	clone4,clone31	R1.060,R2.019,R3.085,P1.27	DSS21BC-Control-m7
R1.060,R2.023,R3.059,P1.05	clone16	R1.060,R2.023,R3.059,P1.27	DSS21BC-Control-m7
R1.060,R2.039,R3.022,P1.05	clone14	R1.060,R2.039,R3.022,P1.27	DSS21BC-Control-m7
R1.060,R2.059,R3.047,P1.05	clone4	R1.060,R2.059,R3.047,P1.27	DSS21BC-Control-m7
R1.060,R2.059,R3.069,P1.05	clone2	R1.060,R2.059,R3.069,P1.27	DSS21BC-Control-m7
R1.060,R2.063,R3.096,P1.05	clone50	R1.060,R2.063,R3.096,P1.27	DSS21BC-Control-m7
R1.060,R2.069,R3.087,P1.05	clone2	R1.060,R2.069,R3.087,P1.27	DSS21BC-Control-m7
R1.060,R2.075,R3.035,P1.05	clone9	R1.060,R2.075,R3.035,P1.27	DSS21BC-Control-m7
R1.060,R2.078,R3.033,P1.05	clone382,clone399	R1.060,R2.078,R3.033,P1.27	DSS21BC-Control-m7
R1.060,R2.080,R3.029,P1.05	clone13	R1.060,R2.080,R3.029,P1.27	DSS21BC-Control-m7
R1.060,R2.084,R3.094,P1.05	clone39	R1.060,R2.084,R3.094,P1.27	DSS21BC-Control-m7
R1.061,R2.014,R3.017,P1.05	clone16	R1.061,R2.014,R3.017,P1.27	DSS21BC-Control-m7
R1.061,R2.019,R3.091,P1.05	clone144	R1.061,R2.019,R3.091,P1.27	DSS21BC-Control-m7
R1.061,R2.022,R3.043,P1.05	clone14	R1.061,R2.022,R3.043,P1.27	DSS21BC-Control-m7
R1.061,R2.023,R3.067,P1.05	clone2	R1.061,R2.023,R3.067,P1.27	DSS21BC-Control-m7
R1.061,R2.056,R3.012,P1.05	clone14	R1.061,R2.056,R3.012,P1.27	DSS21BC-Control-m7
R1.061,R2.063,R3.016,P1.05	clone4,clone22	R1.061,R2.063,R3.016,P1.27	DSS21BC-Control-m7
R1.061,R2.074,R3.010,P1.05	clone2,clone4	R1.061,R2.074,R3.010,P1.27	DSS21BC-Control-m7
R1.061,R2.076,R3.066,P1.05	clone2	R1.061,R2.076,R3.066,P1.27	DSS21BC-Control-m7
R1.061,R2.081,R3.074,P1.05	clone93	R1.061,R2.081,R3.074,P1.27	DSS21BC-Control-m7
R1.061,R2.087,R3.011,P1.05	clone75	R1.061,R2.087,R3.011,P1.27	DSS21BC-Control-m7
R1.061,R2.092,R3.042,P1.05	clone9	R1.061,R2.092,R3.042,P1.27	DSS21BC-Control-m7
R1.061,R2.096,R3.077,P1.05	clone12,clone9	R1.061,R2.096,R3.077,P1.27	DSS21BC-Control-m7
R1.061,R2.096,R3.087,P1.05	clone4	R1.061,R2.096,R3.087,P1.27	DSS21BC-Control-m7
R1.062,R2.006,R3.013,P1.05	clone14	R1.062,R2.006,R3.013,P1.27	DSS21BC-Control-m7
R1.062,R2.006,R3.018,P1.05	clone16	R1.062,R2.006,R3.018,P1.27	DSS21BC-Control-m7
R1.062,R2.007,R3.083,P1.05	clone15	R1.062,R2.007,R3.083,P1.27	DSS21BC-Control-m7
R1.062,R2.009,R3.080,P1.05	clone16	R1.062,R2.009,R3.080,P1.27	DSS21BC-Control-m7
R1.062,R2.012,R3.034,P1.05	clone4	R1.062,R2.012,R3.034,P1.27	DSS21BC-Control-m7
R1.062,R2.032,R3.077,P1.05	clone15	R1.062,R2.032,R3.077,P1.27	DSS21BC-Control-m7
R1.062,R2.038,R3.056,P1.05	clone16	R1.062,R2.038,R3.056,P1.27	DSS21BC-Control-m7
R1.062,R2.042,R3.025,P1.05	clone14	R1.062,R2.042,R3.025,P1.27	DSS21BC-Control-m7
R1.062,R2.066,R3.043,P1.05	clone2	R1.062,R2.066,R3.043,P1.27	DSS21BC-Control-m7
R1.062,R2.068,R3.018,P1.05	clone4	R1.062,R2.068,R3.018,P1.27	DSS21BC-Control-m7
R1.062,R2.070,R3.019,P1.05	clone29	R1.062,R2.070,R3.019,P1.27	DSS21BC-Control-m7
R1.062,R2.090,R3.068,P1.05	clone14	R1.062,R2.090,R3.068,P1.27	DSS21BC-Control-m7
R1.063,R2.003,R3.019,P1.05	clone31	R1.063,R2.003,R3.019,P1.27	DSS21BC-Control-m7
R1.063,R2.016,R3.016,P1.05	clone4	R1.063,R2.016,R3.016,P1.27	DSS21BC-Control-m7
R1.063,R2.018,R3.088,P1.05	clone16	R1.063,R2.018,R3.088,P1.27	DSS21BC-Control-m7
R1.063,R2.039,R3.037,P1.05	clone14	R1.063,R2.039,R3.037,P1.27	DSS21BC-Control-m7
R1.063,R2.040,R3.059,P1.05	clone60	R1.063,R2.040,R3.059,P1.27	DSS21BC-Control-m7
R1.063,R2.040,R3.095,P1.05	clone2	R1.063,R2.040,R3.095,P1.27	DSS21BC-Control-m7
R1.063,R2.046,R3.088,P1.05	clone282	R1.063,R2.046,R3.088,P1.27	DSS21BC-Control-m7
R1.063,R2.049,R3.026,P1.05	clone12	R1.063,R2.049,R3.026,P1.27	DSS21BC-Control-m7
R1.063,R2.052,R3.026,P1.05	clone4	R1.063,R2.052,R3.026,P1.27	DSS21BC-Control-m7
R1.063,R2.068,R3.090,P1.05	clone4	R1.063,R2.068,R3.090,P1.27	DSS21BC-Control-m7
R1.063,R2.071,R3.037,P1.05	clone16	R1.063,R2.071,R3.037,P1.27	DSS21BC-Control-m7
R1.063,R2.071,R3.076,P1.05	clone16	R1.063,R2.071,R3.076,P1.27	DSS21BC-Control-m7
R1.063,R2.071,R3.077,P1.05	clone185	R1.063,R2.071,R3.077,P1.27	DSS21BC-Control-m7
R1.063,R2.086,R3.073,P1.05	clone22	R1.063,R2.086,R3.073,P1.27	DSS21BC-Control-m7
R1.063,R2.088,R3.007,P1.05	clone27	R1.063,R2.088,R3.007,P1.27	DSS21BC-Control-m7
R1.064,R2.005,R3.074,P1.05	clone2,clone4	R1.064,R2.005,R3.074,P1.27	DSS21BC-Control-m7
R1.064,R2.014,R3.044,P1.05	clone15	R1.064,R2.014,R3.044,P1.27	DSS21BC-Control-m7
R1.064,R2.015,R3.061,P1.05	clone147	R1.064,R2.015,R3.061,P1.27	DSS21BC-Control-m7
R1.064,R2.039,R3.046,P1.05	clone14	R1.064,R2.039,R3.046,P1.27	DSS21BC-Control-m7
R1.064,R2.045,R3.050,P1.05	clone2	R1.064,R2.045,R3.050,P1.27	DSS21BC-Control-m7
R1.064,R2.048,R3.003,P1.05	clone276	R1.064,R2.048,R3.003,P1.27	DSS21BC-Control-m7
R1.064,R2.077,R3.042,P1.05	clone15	R1.064,R2.077,R3.042,P1.27	DSS21BC-Control-m7
R1.064,R2.094,R3.046,P1.05	clone2,clone4	R1.064,R2.094,R3.046,P1.27	DSS21BC-Control-m7
R1.065,R2.010,R3.026,P1.05	clone8	R1.065,R2.010,R3.026,P1.27	DSS21BC-Control-m8
R1.065,R2.011,R3.050,P1.05	clone26	R1.065,R2.011,R3.050,P1.27	DSS21BC-Control-m8
R1.065,R2.025,R3.059,P1.05	clone7	R1.065,R2.025,R3.059,P1.27	DSS21BC-Control-m8
R1.065,R2.028,R3.027,P1.05	clone8	R1.065,R2.028,R3.027,P1.27	DSS21BC-Control-m8
R1.065,R2.029,R3.004,P1.05	clone20	R1.065,R2.029,R3.004,P1.27	DSS21BC-Control-m8
R1.065,R2.034,R3.082,P1.05	clone7	R1.065,R2.034,R3.082,P1.27	DSS21BC-Control-m8
R1.065,R2.042,R3.001,P1.05	clone7	R1.065,R2.042,R3.001,P1.27	DSS21BC-Control-m8
R1.065,R2.044,R3.019,P1.05	clone10	R1.065,R2.044,R3.019,P1.27	DSS21BC-Control-m8
R1.065,R2.045,R3.062,P1.05	clone7	R1.065,R2.045,R3.062,P1.27	DSS21BC-Control-m8
R1.065,R2.049,R3.081,P1.05	clone7	R1.065,R2.049,R3.081,P1.27	DSS21BC-Control-m8
R1.065,R2.052,R3.074,P1.05	clone26	R1.065,R2.052,R3.074,P1.27	DSS21BC-Control-m8
R1.065,R2.057,R3.075,P1.05	clone7	R1.065,R2.057,R3.075,P1.27	DSS21BC-Control-m8
R1.065,R2.067,R3.050,P1.05	clone7	R1.065,R2.067,R3.050,P1.27	DSS21BC-Control-m8
R1.065,R2.068,R3.038,P1.05	clone26	R1.065,R2.068,R3.038,P1.27	DSS21BC-Control-m8
R1.065,R2.079,R3.080,P1.05	clone26	R1.065,R2.079,R3.080,P1.27	DSS21BC-Control-m8
R1.065,R2.081,R3.066,P1.05	clone10	R1.065,R2.081,R3.066,P1.27	DSS21BC-Control-m8
R1.065,R2.085,R3.086,P1.05	clone7	R1.065,R2.085,R3.086,P1.27	DSS21BC-Control-m8
R1.065,R2.090,R3.001,P1.05	clone8,clone10	R1.065,R2.090,R3.001,P1.27	DSS21BC-Control-m8
R1.065,R2.090,R3.068,P1.05	clone141	R1.065,R2.090,R3.068,P1.27	DSS21BC-Control-m8
R1.065,R2.091,R3.093,P1.05	clone249	R1.065,R2.091,R3.093,P1.27	DSS21BC-Control-m8
R1.065,R2.092,R3.084,P1.05	clone26	R1.065,R2.092,R3.084,P1.27	DSS21BC-Control-m8
R1.066,R2.001,R3.089,P1.05	clone10	R1.066,R2.001,R3.089,P1.27	DSS21BC-Control-m8
R1.066,R2.003,R3.074,P1.05	clone32	R1.066,R2.003,R3.074,P1.27	DSS21BC-Control-m8
R1.066,R2.012,R3.066,P1.05	clone7	R1.066,R2.012,R3.066,P1.27	DSS21BC-Control-m8
R1.066,R2.022,R3.017,P1.05	clone10	R1.066,R2.022,R3.017,P1.27	DSS21BC-Control-m8
R1.066,R2.025,R3.020,P1.05	clone8,clone7	R1.066,R2.025,R3.020,P1.27	DSS21BC-Control-m8
R1.066,R2.025,R3.034,P1.05	clone8	R1.066,R2.025,R3.034,P1.27	DSS21BC-Control-m8
R1.066,R2.026,R3.074,P1.05	clone20	R1.066,R2.026,R3.074,P1.27	DSS21BC-Control-m8
R1.066,R2.036,R3.093,P1.05	clone7,clone58	R1.066,R2.036,R3.093,P1.27	DSS21BC-Control-m8
R1.066,R2.042,R3.065,P1.05	clone8	R1.066,R2.042,R3.065,P1.27	DSS21BC-Control-m8
R1.066,R2.043,R3.013,P1.05	clone26	R1.066,R2.043,R3.013,P1.27	DSS21BC-Control-m8
R1.066,R2.050,R3.017,P1.05	clone26	R1.066,R2.050,R3.017,P1.27	DSS21BC-Control-m8
R1.066,R2.051,R3.083,P1.05	clone107	R1.066,R2.051,R3.083,P1.27	DSS21BC-Control-m8
R1.066,R2.058,R3.071,P1.05	clone7	R1.066,R2.058,R3.071,P1.27	DSS21BC-Control-m8
R1.066,R2.080,R3.075,P1.05	clone20	R1.066,R2.080,R3.075,P1.27	DSS21BC-Control-m8
R1.066,R2.090,R3.037,P1.05	clone10	R1.066,R2.090,R3.037,P1.27	DSS21BC-Control-m8
R1.067,R2.009,R3.043,P1.05	clone20	R1.067,R2.009,R3.043,P1.27	DSS21BC-Control-m8
R1.067,R2.009,R3.057,P1.05	clone26	R1.067,R2.009,R3.057,P1.27	DSS21BC-Control-m8
R1.067,R2.023,R3.039,P1.05	clone8	R1.067,R2.023,R3.039,P1.27	DSS21BC-Control-m8
R1.067,R2.045,R3.059,P1.05	clone7	R1.067,R2.045,R3.059,P1.27	DSS21BC-Control-m8
R1.067,R2.077,R3.012,P1.05	clone7	R1.067,R2.077,R3.012,P1.27	DSS21BC-Control-m8
R1.068,R2.009,R3.091,P1.05	clone10	R1.068,R2.009,R3.091,P1.27	DSS21BC-Control-m8
R1.068,R2.019,R3.065,P1.05	clone20	R1.068,R2.019,R3.065,P1.27	DSS21BC-Control-m8
R1.068,R2.021,R3.064,P1.05	clone7	R1.068,R2.021,R3.064,P1.27	DSS21BC-Control-m8
R1.068,R2.033,R3.038,P1.05	clone10	R1.068,R2.033,R3.038,P1.27	DSS21BC-Control-m8
R1.068,R2.035,R3.023,P1.05	clone10	R1.068,R2.035,R3.023,P1.27	DSS21BC-Control-m8
R1.068,R2.044,R3.031,P1.05	clone10	R1.068,R2.044,R3.031,P1.27	DSS21BC-Control-m8
R1.068,R2.055,R3.062,P1.05	clone20	R1.068,R2.055,R3.062,P1.27	DSS21BC-Control-m8
R1.068,R2.069,R3.011,P1.05	clone10	R1.068,R2.069,R3.011,P1.27	DSS21BC-Control-m8
R1.068,R2.083,R3.027,P1.05	clone26	R1.068,R2.083,R3.027,P1.27	DSS21BC-Control-m8
R1.068,R2.089,R3.027,P1.05	clone8	R1.068,R2.089,R3.027,P1.27	DSS21BC-Control-m8
R1.069,R2.006,R3.051,P1.05	clone10	R1.069,R2.006,R3.051,P1.27	DSS21BC-Control-m8
R1.069,R2.015,R3.079,P1.05	clone10	R1.069,R2.015,R3.079,P1.27	DSS21BC-Control-m8
R1.069,R2.016,R3.047,P1.05	clone58	R1.069,R2.016,R3.047,P1.27	DSS21BC-Control-m8
R1.069,R2.018,R3.095,P1.05	clone20	R1.069,R2.018,R3.095,P1.27	DSS21BC-Control-m8
R1.069,R2.028,R3.091,P1.05	clone7	R1.069,R2.028,R3.091,P1.27	DSS21BC-Control-m8
R1.069,R2.036,R3.009,P1.05	clone20	R1.069,R2.036,R3.009,P1.27	DSS21BC-Control-m8
R1.069,R2.037,R3.022,P1.05	clone8	R1.069,R2.037,R3.022,P1.27	DSS21BC-Control-m8
R1.069,R2.038,R3.067,P1.05	clone7	R1.069,R2.038,R3.067,P1.27	DSS21BC-Control-m8
R1.069,R2.054,R3.055,P1.05	clone7	R1.069,R2.054,R3.055,P1.27	DSS21BC-Control-m8
R1.069,R2.064,R3.032,P1.05	clone7	R1.069,R2.064,R3.032,P1.27	DSS21BC-Control-m8
R1.069,R2.064,R3.053,P1.05	clone10	R1.069,R2.064,R3.053,P1.27	DSS21BC-Control-m8
R1.070,R2.007,R3.021,P1.05	clone8	R1.070,R2.007,R3.021,P1.27	DSS21BC-Control-m8
R1.070,R2.012,R3.063,P1.05	clone26	R1.070,R2.012,R3.063,P1.27	DSS21BC-Control-m8
R1.070,R2.013,R3.083,P1.05	clone20	R1.070,R2.013,R3.083,P1.27	DSS21BC-Control-m8
R1.070,R2.038,R3.052,P1.05	clone7	R1.070,R2.038,R3.052,P1.27	DSS21BC-Control-m8
R1.070,R2.039,R3.020,P1.05	clone7	R1.070,R2.039,R3.020,P1.27	DSS21BC-Control-m8
R1.070,R2.050,R3.033,P1.05	clone26	R1.070,R2.050,R3.033,P1.27	DSS21BC-Control-m8
R1.070,R2.051,R3.063,P1.05	clone7,clone249	R1.070,R2.051,R3.063,P1.27	DSS21BC-Control-m8
R1.070,R2.051,R3.074,P1.05	clone10	R1.070,R2.051,R3.074,P1.27	DSS21BC-Control-m8
R1.070,R2.053,R3.021,P1.05	clone8	R1.070,R2.053,R3.021,P1.27	DSS21BC-Control-m8
R1.070,R2.056,R3.060,P1.05	clone20	R1.070,R2.056,R3.060,P1.27	DSS21BC-Control-m8
R1.070,R2.074,R3.082,P1.05	clone26	R1.070,R2.074,R3.082,P1.27	DSS21BC-Control-m8
R1.070,R2.080,R3.008,P1.05	clone32	R1.070,R2.080,R3.008,P1.27	DSS21BC-Control-m8
R1.070,R2.087,R3.064,P1.05	clone20	R1.070,R2.087,R3.064,P1.27	DSS21BC-Control-m8
R1.071,R2.024,R3.029,P1.05	clone7	R1.071,R2.024,R3.029,P1.27	DSS21BC-Control-m8
R1.071,R2.032,R3.071,P1.05	clone20	R1.071,R2.032,R3.071,P1.27	DSS21BC-Control-m8
R1.071,R2.039,R3.077,P1.05	clone7	R1.071,R2.039,R3.077,P1.27	DSS21BC-Control-m8
R1.071,R2.039,R3.087,P1.05	clone7	R1.071,R2.039,R3.087,P1.27	DSS21BC-Control-m8
R1.071,R2.047,R3.055,P1.05	clone10	R1.071,R2.047,R3.055,P1.27	DSS21BC-Control-m8
R1.071,R2.048,R3.055,P1.05	clone7	R1.071,R2.048,R3.055,P1.27	DSS21BC-Control-m8
R1.071,R2.052,R3.059,P1.05	clone10	R1.071,R2.052,R3.059,P1.27	DSS21BC-Control-m8
R1.071,R2.066,R3.030,P1.05	clone197	R1.071,R2.066,R3.030,P1.27	DSS21BC-Control-m8
R1.071,R2.068,R3.010,P1.05	clone7	R1.071,R2.068,R3.010,P1.27	DSS21BC-Control-m8
R1.071,R2.069,R3.071,P1.05	clone7	R1.071,R2.069,R3.071,P1.27	DSS21BC-Control-m8
R1.071,R2.092,R3.010,P1.05	clone55	R1.071,R2.092,R3.010,P1.27	DSS21BC-Control-m8
R1.072,R2.005,R3.031,P1.05	clone32	R1.072,R2.005,R3.031,P1.27	DSS21BC-Control-m8
R1.072,R2.007,R3.060,P1.05	clone7	R1.072,R2.007,R3.060,P1.27	DSS21BC-Control-m8
R1.072,R2.023,R3.016,P1.05	clone7	R1.072,R2.023,R3.016,P1.27	DSS21BC-Control-m8
R1.072,R2.023,R3.094,P1.05	clone7	R1.072,R2.023,R3.094,P1.27	DSS21BC-Control-m8
R1.072,R2.071,R3.063,P1.05	clone8	R1.072,R2.071,R3.063,P1.27	DSS21BC-Control-m8
R1.072,R2.080,R3.039,P1.05	clone122	R1.072,R2.080,R3.039,P1.27	DSS21BC-Control-m8
R1.073,R2.010,R3.016,P1.05	clone8	R1.073,R2.010,R3.016,P1.27	DSS21BC-Control-m8
R1.073,R2.027,R3.004,P1.05	clone8	R1.073,R2.027,R3.004,P1.27	DSS21BC-Control-m8
R1.073,R2.042,R3.009,P1.05	clone232	R1.073,R2.042,R3.009,P1.27	DSS21BC-Control-m8
R1.073,R2.049,R3.089,P1.05	clone183	R1.073,R2.049,R3.089,P1.27	DSS21BC-Control-m8
R1.073,R2.050,R3.076,P1.05	clone7	R1.073,R2.050,R3.076,P1.27	DSS21BC-Control-m8
R1.073,R2.058,R3.037,P1.05	clone10	R1.073,R2.058,R3.037,P1.27	DSS21BC-Control-m8
R1.073,R2.061,R3.077,P1.05	clone32	R1.073,R2.061,R3.077,P1.27	DSS21BC-Control-m8
R1.073,R2.066,R3.083,P1.05	clone8	R1.073,R2.066,R3.083,P1.27	DSS21BC-Control-m8
R1.073,R2.084,R3.080,P1.05	clone232	R1.073,R2.084,R3.080,P1.27	DSS21BC-Control-m8
R1.074,R2.011,R3.005,P1.05	clone7	R1.074,R2.011,R3.005,P1.27	DSS21BC-Control-m8
R1.074,R2.017,R3.010,P1.05	clone10	R1.074,R2.017,R3.010,P1.27	DSS21BC-Control-m8
R1.074,R2.028,R3.075,P1.05	clone20	R1.074,R2.028,R3.075,P1.27	DSS21BC-Control-m8
R1.074,R2.035,R3.045,P1.05	clone10	R1.074,R2.035,R3.045,P1.27	DSS21BC-Control-m8
R1.074,R2.035,R3.061,P1.05	clone20	R1.074,R2.035,R3.061,P1.27	DSS21BC-Control-m8
R1.074,R2.038,R3.030,P1.05	clone10	R1.074,R2.038,R3.030,P1.27	DSS21BC-Control-m8
R1.074,R2.076,R3.041,P1.05	clone10	R1.074,R2.076,R3.041,P1.27	DSS21BC-Control-m8
R1.074,R2.084,R3.027,P1.05	clone55	R1.074,R2.084,R3.027,P1.27	DSS21BC-Control-m8
R1.074,R2.089,R3.089,P1.05	clone55	R1.074,R2.089,R3.089,P1.27	DSS21BC-Control-m8
R1.075,R2.015,R3.086,P1.05	clone7	R1.075,R2.015,R3.086,P1.27	DSS21BC-Control-m8
R1.075,R2.016,R3.063,P1.05	clone34	R1.075,R2.016,R3.063,P1.27	DSS21BC-Control-m8
R1.075,R2.017,R3.030,P1.05	clone20	R1.075,R2.017,R3.030,P1.27	DSS21BC-Control-m8
R1.075,R2.021,R3.071,P1.05	clone34	R1.075,R2.021,R3.071,P1.27	DSS21BC-Control-m8
R1.075,R2.027,R3.010,P1.05	clone7	R1.075,R2.027,R3.010,P1.27	DSS21BC-Control-m8
R1.075,R2.051,R3.081,P1.05	clone34	R1.075,R2.051,R3.081,P1.27	DSS21BC-Control-m8
R1.075,R2.052,R3.027,P1.05	clone7	R1.075,R2.052,R3.027,P1.27	DSS21BC-Control-m8
R1.075,R2.052,R3.084,P1.05	clone10	R1.075,R2.052,R3.084,P1.27	DSS21BC-Control-m8
R1.075,R2.058,R3.065,P1.05	clone10	R1.075,R2.058,R3.065,P1.27	DSS21BC-Control-m8
R1.075,R2.063,R3.088,P1.05	clone7	R1.075,R2.063,R3.088,P1.27	DSS21BC-Control-m8
R1.076,R2.004,R3.014,P1.05	clone34	R1.076,R2.004,R3.014,P1.27	DSS21BC-Control-m8
R1.076,R2.005,R3.090,P1.05	clone10	R1.076,R2.005,R3.090,P1.27	DSS21BC-Control-m8
R1.076,R2.023,R3.002,P1.05	clone20	R1.076,R2.023,R3.002,P1.27	DSS21BC-Control-m8
R1.076,R2.039,R3.081,P1.05	clone8	R1.076,R2.039,R3.081,P1.27	DSS21BC-Control-m8
R1.076,R2.062,R3.023,P1.05	clone7	R1.076,R2.062,R3.023,P1.27	DSS21BC-Control-m8
R1.076,R2.069,R3.082,P1.05	clone26	R1.076,R2.069,R3.082,P1.27	DSS21BC-Control-m8
R1.076,R2.089,R3.075,P1.05	clone7	R1.076,R2.089,R3.075,P1.27	DSS21BC-Control-m8
R1.076,R2.092,R3.059,P1.05	clone7	R1.076,R2.092,R3.059,P1.27	DSS21BC-Control-m8
R1.077,R2.019,R3.055,P1.05	clone20	R1.077,R2.019,R3.055,P1.27	DSS21BC-Control-m8
